id;name;datefounded;enabled;created_at
1;selon gens;de manière à ce que touchant diététiste;false;2024-04-19T22:06:22
2;mairie;pschitt;true;2024-04-19T17:44:05
3;traîner conseil municipal;clientèle à peine oups;false;2024-04-20T09:30:34
4;de peur de;toc aigre porte-parole;false;2024-04-19T15:06:23
5;en dépit de avant que;quelque clac;true;2024-04-19T19:48:45
6;pratiquer;ronfler lectorat grimper;true;2024-04-19T17:53:37
7;alors que à seule fin de dring;prouver;true;2024-04-20T00:12:32
8;vouh remplir;trancher actionnaire;false;2024-04-20T06:11:42
9;aïe sauf à concevoir;aux environs de partout oh;true;2024-04-19T13:44:02
10;sédentaire derrière agréable;reconnaître réunir quelque;false;2024-04-20T03:06:57
