id;type;value;created_at
1;FAX;rédaction à l'exception de;2024-04-19T11:12:33
2;EMAIL;insolite du côté de commis de cuisine;2024-04-19T15:26:28
3;PHONE_NUMBER;bien que;2024-04-20T09:35:49
4;EMAIL;pour ouin sans que;2024-04-19T21:34:04
5;FAX;toutefois;2024-04-19T12:47:53
6;PHONE_NUMBER;de manière à plouf absorber;2024-04-20T01:10:01
7;PHONE_NUMBER;avancer fort;2024-04-19T14:10:09
8;EMAIL;énergique paf;2024-04-20T08:36:00
9;PHONE_NUMBER;évaluer lors novice;2024-04-19T16:57:23
10;PHONE_NUMBER;clac;2024-04-20T09:23:39
