id;credit_score;account_age;credit_limit;inquiries_and_requests;created_at
1;au prix de au point que;oui;de sorte que à peu près apparemment;tsoin-tsoin même si;2024-04-20T00:21:37
2;sans doute;parmi pour que;drelin;hebdomadaire presque;2024-04-19T22:12:55
3;obliger premièrement grrr;transformer sur;personnel professionnel raide;mal assigner volontiers;2024-04-19T21:11:09
4;infiniment conseil d’administration;fleurir;enfiler tenir;dehors;2024-04-20T02:05:12
5;amorphe manger tendre;vorace ding probablement;lors de solitaire concurrence;hystérique ouin;2024-04-19T20:03:27
6;au-dessous;équipe de recherche offrir;dring surprendre;fade rectorat à l'égard de;2024-04-20T06:19:24
7;coin-coin;spécialiste;rudement toc;psitt enfin casser;2024-04-19T14:34:13
8;membre à vie secours;mairie;là;impromptu;2024-04-19T18:15:37
9;population du Québec quand;chut accorder si bien que;auprès de;apte tellement d’autant que;2024-04-20T03:16:46
10;mal hormis;de peur que vroum;encore;chef de cuisine plic entièrement;2024-04-20T01:39:27
