id;invoice_number;amount;status;created_at
1;serviable;à défaut de  parlementaire renvoyer;PENDING;2024-04-19T18:49:11
2;ensemble hystérique vivace;derrière;PENDING;2024-04-20T07:39:21
3;en decà de;horrible quoique;REJECTED;2024-04-19T14:21:04
4;choisir moyennant;commissionnaire pin-pon pour que;REJECTED;2024-04-19T11:33:12
5;brusque;reparaître brusque;PENDING;2024-04-19T19:06:45
6;cocorico;bien que euh;DONE;2024-04-20T05:14:41
7;décrire aujourd'hui;clientèle;DONE;2024-04-19T23:36:31
8;agréable hé;aussitôt que adhérer;IN_PROGRESS;2024-04-20T04:59:53
9;du moment que atchoum totalement;aligner au-dessus de quelque;REJECTED;2024-04-19T17:26:59
10;tôt cadre vanter;quand présidence;DONE;2024-04-20T09:04:58
