id;name;serial_number;guarantee;price;created_at
1;pendant fade;à raison de;vers;subito;2024-04-19T22:03:06
2;au cas où;presser;afin que;peu parlementaire demain;2024-04-19T11:02:22
3;aux environs de;là innombrable;magenta bè auparavant;au cas où si au-devant;2024-04-19T11:32:28
4;adorable impromptu;céder porte-parole;au prix de reproduire sombre;direction hier;2024-04-20T00:12:24
5;dès que pour que;dring géométrique susciter;sympathique;divinement diététiste;2024-04-19T19:04:21
6;précisément miaou encore;ouch;croâ étant donné que;partout ordonner;2024-04-20T00:51:10
7;téméraire lectorat;causer sans que à demi;placide;infime;2024-04-19T12:24:41
8;hormis ouah;comme;zzzz;à condition que;2024-04-19T20:12:57
9;sans que vroum coac coac;cot cot;avant-hier ding affronter;à côté de à peine;2024-04-19T14:29:14
10;jusque;porte-parole;calme sauver;au point que;2024-04-20T03:32:40
